Symbol,Timestamp,Open,Close,ChangePct,Volume,RVOL
FFL,2026-01-07T06:30:50.000000000Z,21.47,21.99,2.4220,238571,0.8503
FFL,2026-01-07T06:34:37.000000000Z,21.46,21.93,2.1901,156877,0.5591
FFL,2026-01-07T06:37:26.000000000Z,21.46,21.9,2.0503,139970,0.4989
FFL,2026-01-07T06:40:17.000000000Z,21.46,21.94,2.2367,119115,0.4246
FFL,2026-01-07T06:43:36.000000000Z,21.46,21.92,2.1435,102611,0.3657
FFL,2026-01-07T06:47:26.000000000Z,21.45,21.95,2.3310,156971,0.5595
FFL,2026-01-07T06:50:56.000000000Z,21.45,22,2.5641,407717,1.4532
FFL,2026-01-07T06:54:57.000000000Z,21.45,21.91,2.1445,189938,0.6770
FFL,2026-01-07T06:57:56.000000000Z,21.44,21.92,2.2388,85003,0.3030
FFL,2026-01-07T07:01:37.000000000Z,21.46,21.93,2.1901,185402,0.6608
FFL,2026-01-07T07:04:34.000000000Z,21.47,21.91,2.0494,768721,2.7399
FFL,2026-01-07T07:06:01.000000000Z,21.62,21.9,1.2951,521681,1.8594
FFL,2026-01-07T07:06:58.000000000Z,21.65,21.93,1.2933,460554,1.6415
FFL,2026-01-07T07:07:53.000000000Z,21.63,21.93,1.3870,321076,1.1444
FFL,2026-01-07T07:08:56.000000000Z,21.62,21.95,1.5264,278357,0.9921
FFL,2026-01-07T07:10:05.000000000Z,21.68,21.91,1.0609,715330,2.5496
FFL,2026-01-07T07:12:08.000000000Z,21.63,21.98,1.6181,185581,0.6615
FFL,2026-01-07T07:13:20.000000000Z,21.58,21.98,1.8536,310162,1.1055
FFL,2026-01-07T07:14:26.000000000Z,21.51,22.04,2.4640,387515,1.3812
FFL,2026-01-07T07:15:38.000000000Z,21.6,22.07,2.1759,356223,1.2697
FFL,2026-01-07T07:16:56.000000000Z,21.48,21.98,2.3277,386852,1.3788
FFL,2026-01-07T07:18:20.000000000Z,21.47,22,2.4686,236274,0.8421
FFL,2026-01-07T07:19:51.000000000Z,21.45,21.98,2.4709,108082,0.3852
FFL,2026-01-07T07:21:38.000000000Z,21.45,21.93,2.2378,58614,0.2089
FFL,2026-01-07T07:23:57.000000000Z,21.48,21.95,2.1881,162735,0.5800
FFL,2026-01-07T07:26:18.000000000Z,21.45,21.97,2.4242,96554,0.3441
FFL,2026-01-07T07:28:25.000000000Z,21.42,21.97,2.5677,133999,0.4776
FFL,2026-01-07T07:31:10.000000000Z,21.45,22.07,2.8904,58277,0.2077
FFL,2026-01-07T07:34:19.000000000Z,21.43,22.05,2.8931,441772,1.5746
FFL,2026-01-07T07:38:24.000000000Z,21.43,22,2.6598,217903,0.7767
FFL,2026-01-07T07:42:32.000000000Z,21.43,22.05,2.8931,76492,0.2726
FFL,2026-01-07T07:45:34.000000000Z,21.4,22.12,3.3645,227271,0.8100
FFL,2026-01-07T07:48:54.000000000Z,21.38,21.95,2.6660,149080,0.5314
FFL,2026-01-07T07:51:40.000000000Z,21.32,21.84,2.4390,547325,1.9508
FFL,2026-01-07T07:52:49.000000000Z,21.25,21.79,2.5412,803450,2.8637
FFL,2026-01-07T07:53:54.000000000Z,21.25,21.73,2.2588,175201,0.6245
FFL,2026-01-07T07:55:29.000000000Z,21.28,21.79,2.3966,79946,0.2849
FFL,2026-01-07T07:57:19.000000000Z,21.28,21.8,2.4436,111758,0.3983
FFL,2026-01-07T08:00:15.000000000Z,21.3,21.79,2.3005,79799,0.2844
FFL,2026-01-07T08:02:49.000000000Z,21.3,21.78,2.2535,203488,0.7253
FFL,2026-01-07T08:05:13.000000000Z,21.31,21.79,2.2525,77474,0.2761
FFL,2026-01-07T08:08:33.000000000Z,21.35,21.82,2.2014,69943,0.2493
FFL,2026-01-07T08:11:19.000000000Z,21.33,21.86,2.4848,76753,0.2736
FFL,2026-01-07T08:15:04.000000000Z,21.35,21.92,2.6698,178340,0.6356
FFL,2026-01-07T08:17:01.000000000Z,21.31,21.84,2.4871,159372,0.5680
FFL,2026-01-07T08:19:59.000000000Z,21.32,21.93,2.8612,169753,0.6050
FFL,2026-01-07T08:23:14.000000000Z,21.39,21.98,2.7583,298596,1.0643
FFL,2026-01-07T08:25:33.000000000Z,21.4,21.98,2.7103,140145,0.4995
FFL,2026-01-07T08:27:41.000000000Z,21.35,22.02,3.1382,279234,0.9953
FFL,2026-01-07T08:29:44.000000000Z,21.36,22.08,3.3708,244392,0.8711
FFL,2026-01-07T08:32:18.000000000Z,21.4,22.07,3.1308,290404,1.0351
FFL,2026-01-07T08:35:30.000000000Z,21.3,22.04,3.4742,279765,0.9971
FFL,2026-01-07T08:40:06.000000000Z,21.45,21.96,2.3776,312682,1.1145
FFL,2026-01-07T08:42:51.000000000Z,21.52,21.94,1.9517,187810,0.6694
FFL,2026-01-07T08:44:23.000000000Z,21.59,21.97,1.7601,247764,0.8831
FFL,2026-01-07T08:45:33.000000000Z,21.52,21.96,2.0446,267531,0.9535
FFL,2026-01-07T08:47:37.000000000Z,21.5,21.92,1.9535,47087,0.1678
FFL,2026-01-07T08:51:11.000000000Z,21.47,21.97,2.3288,92593,0.3300
